Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Churn_UM
0,4.0,1,3,6.0,2,0,3.0,3,2,2,2,9,0,11.0,1.0,1,5.0,3,1
0,0.0,1,3,15.0,2,1,2.0,4,2,5,2,8,1,23.0,0.0,1,3.0,3,1
0,0.0,0,1,22.0,2,0,3.0,5,3,5,2,2,0,22.0,4.0,1,7.0,3,1
0,4.0,1,1,18.0,0,0,2.0,3,4,3,0,2,1,15.0,9.0,1,8.0,3,1
0,11.0,1,1,6.0,2,1,3.0,4,0,3,2,10,0,13.0,0.0,1,0.0,3,1
0,0.0,1,1,11.0,0,1,2.0,3,3,3,2,2,0,13.0,2.0,1,2.0,3,1
0,0.0,1,1,15.0,1,1,3.0,4,3,3,0,1,0,17.0,0.0,1,0.0,3,1
0,9.0,1,3,15.0,1,1,3.0,4,0,2,2,2,1,16.0,0.0,1,7.0,3,1
0,0.0,1,3,11.0,3,1,2.0,4,2,3,2,2,0,11.0,1.0,1,3.0,3,1
0,0.0,0,1,13.0,2,1,3.0,5,2,3,2,2,0,24.0,1.0,1,6.0,3,1
0,19.0,1,1,20.0,2,0,3.0,3,3,4,0,10,0,18.0,1.0,1,3.0,3,1
0,0.0,1,3,12.0,2,1,3.0,5,2,3,0,5,0,18.0,6.0,1,7.0,3,1
0,20.0,1,1,29.0,1,0,3.0,3,0,2,0,2,1,12.0,11.0,1,6.0,3,1
0,0.0,1,3,26.0,2,0,3.0,5,2,3,0,4,0,11.0,1.0,1,2.0,3,1
0,14.0,0,1,14.0,2,1,2.0,5,0,2,2,3,1,15.0,0.0,1,3.0,3,1
1,8.0,1,3,6.0,3,1,3.0,3,0,4,0,2,1,13.0,1.0,1,6.0,3,0
1,5.0,0,3,14.0,3,0,2.0,3,0,2,2,2,1,14.0,2.0,1,7.0,3,0
1,2.0,0,1,6.0,0,1,2.0,3,2,3,1,2,1,13.0,0.0,1,9.0,3,0
1,0.0,1,1,13.0,1,1,2.0,4,2,3,0,3,1,17.0,0.0,1,0.0,3,0
1,30.0,1,1,15.0,1,0,3.0,4,3,4,0,5,0,20.0,1.0,1,0.0,3,0
1,13.0,1,3,10.0,3,1,3.0,4,0,2,0,8,1,11.0,2.0,1,11.0,3,0
1,30.0,1,1,30.0,2,1,2.0,2,0,2,1,4,0,16.0,1.0,1,4.0,3,0
1,23.0,1,1,17.0,2,0,2.0,3,4,4,2,4,1,15.0,2.0,1,4.0,3,0
1,3.0,1,3,11.0,2,0,2.0,3,0,2,0,3,1,12.0,2.0,1,4.0,3,0
1,11.0,1,3,6.0,2,0,2.0,4,2,2,2,5,1,22.0,1.0,1,1.0,3,0
1,18.0,1,3,10.0,2,0,1.0,3,2,5,1,5,0,11.0,0.0,1,3.0,3,0
